[2025-11-13 20:25:13] System - CPU: 2.02%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:14] System - CPU: 2.53%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:15] System - CPU: 2.36%, Memory: 17.87%, Processes: 400
[2025-11-13 20:25:16] System - CPU: 2.75%, Memory: 17.87%, Processes: 400
[2025-11-13 20:25:17] System - CPU: 2.80%, Memory: 17.88%, Processes: 400
[2025-11-13 20:25:19] System - CPU: 2.42%, Memory: 17.90%, Processes: 400
[2025-11-13 20:25:20] System - CPU: 2.13%, Memory: 17.88%, Processes: 400
[2025-11-13 20:25:21] System - CPU: 1.79%, Memory: 17.87%, Processes: 400
[2025-11-13 20:25:22] System - CPU: 2.02%, Memory: 17.87%, Processes: 400
[2025-11-13 20:25:23] System - CPU: 2.36%, Memory: 17.87%, Processes: 400
[2025-11-13 20:25:24] System - CPU: 2.02%, Memory: 17.87%, Processes: 400
[2025-11-13 20:25:25] System - CPU: 2.13%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:26] System - CPU: 2.47%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:27] System - CPU: 1.85%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:29] System - CPU: 5.21%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:30] System - CPU: 8.18%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:31] System - CPU: 1.79%, Memory: 17.87%, Processes: 400
[2025-11-13 20:25:32] System - CPU: 1.68%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:33] System - CPU: 5.08%, Memory: 17.87%, Processes: 400
[2025-11-13 20:25:34] System - CPU: 2.08%, Memory: 17.88%, Processes: 400
[2025-11-13 20:25:35] System - CPU: 2.36%, Memory: 17.88%, Processes: 400
[2025-11-13 20:25:36] System - CPU: 2.41%, Memory: 17.88%, Processes: 400
[2025-11-13 20:25:38] System - CPU: 2.47%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:39] System - CPU: 1.96%, Memory: 17.84%, Processes: 400
[2025-11-13 20:25:40] System - CPU: 2.19%, Memory: 17.84%, Processes: 400
[2025-11-13 20:25:41] System - CPU: 1.69%, Memory: 17.84%, Processes: 400
[2025-11-13 20:25:42] System - CPU: 1.79%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:43] System - CPU: 2.86%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:44] System - CPU: 2.86%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:45] System - CPU: 2.58%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:46] System - CPU: 2.58%, Memory: 17.84%, Processes: 400
[2025-11-13 20:25:48] System - CPU: 2.41%, Memory: 17.84%, Processes: 400
[2025-11-13 20:25:49] System - CPU: 2.18%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:50] System - CPU: 1.91%, Memory: 17.88%, Processes: 400
[2025-11-13 20:25:51] System - CPU: 1.80%, Memory: 17.88%, Processes: 400
[2025-11-13 20:25:52] System - CPU: 7.26%, Memory: 18.16%, Processes: 400
[2025-11-13 20:25:53] System - CPU: 3.97%, Memory: 18.17%, Processes: 400
[2025-11-13 20:25:54] System - CPU: 4.26%, Memory: 18.13%, Processes: 400
[2025-11-13 20:25:55] System - CPU: 3.91%, Memory: 18.21%, Processes: 401
[2025-11-13 20:25:57] System - CPU: 4.03%, Memory: 18.19%, Processes: 401
[2025-11-13 20:25:58] System - CPU: 4.09%, Memory: 18.17%, Processes: 401
[2025-11-13 20:25:59] System - CPU: 17.16%, Memory: 19.46%, Processes: 400
[2025-11-13 20:26:00] System - CPU: 9.60%, Memory: 20.02%, Processes: 404
[2025-11-13 20:26:01] System - CPU: 3.77%, Memory: 20.07%, Processes: 404
[2025-11-13 20:26:02] System - CPU: 4.43%, Memory: 20.00%, Processes: 404
[2025-11-13 20:26:03] System - CPU: 4.49%, Memory: 20.01%, Processes: 404
[2025-11-13 20:26:04] System - CPU: 3.63%, Memory: 19.96%, Processes: 404
[2025-11-13 20:26:05] System - CPU: 3.82%, Memory: 19.93%, Processes: 404
[2025-11-13 20:26:07] System - CPU: 6.39%, Memory: 19.93%, Processes: 404
[2025-11-13 20:26:08] System - CPU: 9.60%, Memory: 19.93%, Processes: 404
[2025-11-13 20:26:09] System - CPU: 6.17%, Memory: 19.75%, Processes: 404
[2025-11-13 20:26:10] System - CPU: 9.56%, Memory: 19.84%, Processes: 404
[2025-11-13 20:26:11] System - CPU: 3.67%, Memory: 19.84%, Processes: 404
